#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,Chipset2_Temp,Chipset_Temp,Cpu1_Temp,Cpu2_Temp,FAN1,FAN2,FAN3,FAN4,IO_Outlet_Temp,Inlet_Temp,Outlet_Temp,PSU1_FAN,PSU1_Inlet,PSU1_Total_Power,PSU1_VIN,PSU2_FAN,PSU2_Inlet,PSU2_Total_Power,PSU2_VIN
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:05:55Z,sdgp,bmc,53,49.5,48.5,45,1673,1689,1697,1694,45.5,40,40,6536,33,120,229.75,4920,26,129,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:47Z,sdgp,bmc,53,49.5,48.5,45,1683,1684,1701,1688,45.5,40,40,6536,33,121,229.75,5064,26,139,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:10Z,sdgp,bmc,53,50,49,45.5,1684,1689,1695,1690,45.5,40,40,6536,33,127,229.5,5096,26,143,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:33Z,sdgp,bmc,53,50,49,45.5,1704,1692,1695,1679,45.5,40,40,6536,33,131,229.25,5096,26,146,229.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:56Z,sdgp,bmc,53,50,49,46,1703,1695,1697,1703,45.5,40,40.5,6504,33,134,229.75,5096,26,150,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:08:20Z,sdgp,bmc,53,50,49.5,46.5,1704,1691,1694,1698,45.5,40,40.5,6720,33,138,229.5,5096,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:08:42Z,sdgp,bmc,53.5,50,50,46.5,1701,1701,1699,1689,45.5,40.5,40.5,6720,33,136,229.25,5064,26,150,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:09:05Z,sdgp,bmc,53.5,50,50,46.5,1674,1700,1694,1690,45.5,40.5,40.5,6720,33,137,229,5096,26,151,229.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:09:28Z,sdgp,bmc,53,50,50,46.5,1711,1690,1694,1698,46,40.5,40.5,6720,33,137,229.5,5096,26,151,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:09:52Z,sdgp,bmc,53.5,50.5,50,47,1679,1686,1707,1694,46,40.5,40.5,6720,33,137,229.75,5096,26,152,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:10:15Z,sdgp,bmc,53.5,50.5,51,47,1676,1705,1697,1701,46,40.5,40.5,6688,33,137,229.75,5096,26,152,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:10:38Z,sdgp,bmc,53.5,50.5,50.5,47.5,1679,1694,1704,1691,46,40.5,40.5,6720,33,137,229.75,5064,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:11:01Z,sdgp,bmc,53.5,50.5,51,47.5,1702,1700,1683,1694,46,41,40.5,6720,33,137,229.5,5096,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:11:24Z,sdgp,bmc,54,50.5,51,47.5,1707,1702,1687,1694,46,41,41,6720,33,137,229.25,5096,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:11:48Z,sdgp,bmc,54,51,51,48,1673,1694,1687,1688,46,41,41,6720,34,137,229.5,5064,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:12:10Z,sdgp,bmc,54,51,52,48,1701,1704,1688,1685,46,41,41,6720,34,138,229.75,5096,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:12:33Z,sdgp,bmc,54,51,51.5,48,1676,1700,1695,1687,46.5,41,41,6896,34,137,229.75,5096,26,152,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:13:24Z,sdgp,bmc,54.5,51,51.5,48.5,1709,1695,1693,1696,46.5,41,41,6984,34,137,229.75,5096,26,152,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:13:47Z,sdgp,bmc,54.5,51,52,48.5,1700,1697,1702,1685,46.5,41,41,6984,34,137,229.75,5096,26,152,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:14:11Z,sdgp,bmc,54.5,51,52,48.5,1673,1695,1695,1699,46.5,41,41.5,6960,34,136,229.5,5096,26,151,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:14:34Z,sdgp,bmc,54.5,51,52,48.5,1706,1700,1702,1692,46.5,41,41.5,7168,34,135,229.5,5096,26,151,229.5
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:14:57Z,sdgp,bmc,54.5,51,52,48.5,1703,1693,1700,1687,46.5,41,41.5,7136,34,135,229.25,5064,26,150,229.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:15:20Z,sdgp,bmc,54.5,51.5,52,48.5,1706,1695,1708,1682,46.5,41.5,41.5,7168,34,131,229.75,5096,26,146,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:16:02Z,sdgp,bmc,55,51.5,52,48,1708,1701,1697,1699,47,41,41.5,7168,34,128,229.75,5096,26,144,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:16:33Z,sdgp,bmc,55,51.5,51.5,47.5,1701,1688,1701,1686,47,41,41.5,7168,34,121,229.5,5096,26,137,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:16:56Z,sdgp,bmc,55,51.5,51.5,47.5,1710,1704,1698,1689,47,41,41.5,7200,34,121,229.75,5096,26,135,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:17:20Z,sdgp,bmc,55,51.5,51.5,47,1679,1692,1692,1692,47,41,41.5,7168,34,120,229.75,5096,26,135,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:17:42Z,sdgp,bmc,55,51.5,51,47,1703,1683,1697,1700,47,41,41.5,7016,34,120,230,5064,26,135,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:18:05Z,sdgp,bmc,55,51.5,51,46.5,1709,1704,1686,1688,47,41,41.5,7048,33,119,230,5096,26,134,230.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:18:29Z,sdgp,bmc,55,51.5,50.5,46.5,1706,1685,1697,1677,47,41,41.5,6984,33,122,229.5,5096,26,129,229.75
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:18:52Z,sdgp,bmc,55,51.5,50.5,46,1697,1681,1698,1696,47,40.5,41.5,6984,33,119,230,5096,26,134,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:19:16Z,sdgp,bmc,55,51,50,46,1703,1700,1688,1703,47,40.5,41.5,7048,33,121,229.75,5064,26,130,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:19:39Z,sdgp,bmc,55,51,50,46,1702,1693,1702,1700,47,40.5,41.5,7016,33,121,229.75,5064,26,128,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:20:02Z,sdgp,bmc,55,51,50,45.5,1702,1692,1707,1686,47,40.5,41.5,6720,33,120,230,5096,26,127,230.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:20:25Z,sdgp,bmc,54.5,51,50,45.5,1709,1688,1689,1707,47,40.5,41.5,6720,33,120,230,5064,26,128,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:20:48Z,sdgp,bmc,54.5,51,50,46,1673,1686,1702,1681,47,40.5,41.5,6720,33,120,230,5064,26,127,230
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:21:11Z,sdgp,bmc,54.5,51,49.5,45.5,1705,1696,1693,1688,47,40.5,41,6720,33,120,230.25,5096,26,128,230.25
,,0,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:21:35Z,sdgp,bmc,54.5,51,49.5,45,1707,1688,1699,1681,47,40,41,6720,33,120,230,5096,26,128,230.5

#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,device_id,branch_misses,cache_misses,cache_references,core0,core1,core10,core100,core101,core102,core103,core104,core105,core106,core107,core108,core109,core11,core110,core111,core112,core113,core114,core115,core116,core117,core118,core119,core12,core120,core121,core122,core123,core124,core125,core126,core127,core13,core14,core15,core16,core17,core18,core19,core2,core20,core21,core22,core23,core24,core25,core26,core27,core28,core29,core3,core30,core31,core32,core33,core34,core35,core36,core37,core38,core39,core4,core40,core41,core42,core43,core44,core45,core46,core47,core48,core49,core5,core50,core51,core52,core53,core54,core55,core56,core57,core58,core59,core6,core60,core61,core62,core63,core64,core65,core66,core67,core68,core69,core7,core70,core71,core72,core73,core74,core75,core76,core77,core78,core79,core8,core80,core81,core82,core83,core84,core85,core86,core87,core88,core89,core9,core90,core91,core92,core93,core94,core95,core96,core97,core98,core99,cpu_cycles,cpu_migrations,cpu_usage,ctx_switches,cycles,event,instructions,load_1,load_15,load_5,mem_usage,page_faults
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:05:46Z,sdgp,host,140866,529733,11687514,0,0,0,0,0,0,0,0,21,11.46,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72580549,0,1.4,323,69758792,,26393219,2.29,10.27,6.86,3.91,4
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:05:51Z,sdgp,host,1291963,2858107,69450464,0,0,0,0,0,0,0,2.97,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408872009,1,0.3,3140,407201349,,166965385,2.11,10.21,6.75,3.9,27
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:05:57Z,sdgp,host,2556079,6088472,120033661,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532105819,2,0.4,1089,527710012,,298378143,1.94,10.16,6.63,3.89,1139
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:02Z,sdgp,host,27974116,75201402,1560209952,23.96,0,0,7.07,2,2,1,18.75,1.01,2,60.4,10.1,13.86,0,7.84,3.92,0,0,0,0,0,0,0,0,0,4.04,2,4,3.96,6,9,3.06,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,1,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.66,0,1,8.16,36,3.03,28,9310965060,67,1.9,14091,9311823381,,3994606473,1.94,10.12,6.56,5.25,11832
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:08Z,sdgp,host,46116256,122661856,2632328248,9.57,16.49,0,1,1,0,0,35.35,6,24.3,8.08,37.37,61,0,5.15,12.75,11.11,0,0,0,0,0,0,0,0,1,2.02,100,1,1,1,1.01,0.99,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,1.01,0,0,0,0,0,1.98,1,100,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38,0,61.39,1,1.98,2,100,0,97.03,73.74,17,0,0,0,1,0,1,0,100,9,0,0,0,0,0,0,1.96,0,0,41,3,0,0,0,0,10,2.97,2,100,27145822693,206,9.5,78463,27178248578,,6506422419,2.19,10.09,6.53,9.18,12534
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:13Z,sdgp,host,19522469,69624960,1636233215,41.05,0,0,0,1.98,7.92,19.39,56.86,2,0,0,1.98,8.91,0,5.94,5.05,0,0,100,0,0,0,0,0,0,0,0,89.9,0,0,0,0,29.17,0,0,100,9.09,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,4.04,0,0,100,2.02,0,0,0,0.99,0.99,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.55,6,10,0.99,2,100,63.27,44.55,27.27,14,79,1.98,0,0,0,0,5.1,0,52,10.89,5,0,0,0,0,14,32,0,0,15,0,100,11.88,2.97,0,58.16,0,0,0,25807272475,67,12.3,46306,25819506696,,3797041102,3.22,10.11,6.67,15.28,1057
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:19Z,sdgp,host,19475175,56870772,1543150639,37.89,0,0,1,0,0,0,24,91,1.98,2,1,1.98,0,71.72,46,49,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,96,0,0,66.33,39.18,2.02,0,0,18.18,0,0,0,43.43,74.26,0,0,0,0,0,7,0,0,68,0,0,0,0,0,0,12,61.22,100,26.53,0,0,0,1.01,0,0,0,0,21,0,0,0,0,0,4,35.35,0,0,0,2.02,0,0,0,47,5.1,24.24,33.33,24.24,49.5,55.21,64,69.07,9.28,22.22,26.26,11.11,19.39,81,4.3,21.57,100,0,26,1.98,0,0,0,0,2.94,17.17,73.27,24,100,4.95,9,1,0,53.54,63,63.64,55,0,0,40235679871,671,17.6,35453,40205695983,,3561785941,4.4,10.16,6.86,18.38,1700
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:24Z,sdgp,host,20405020,54814377,1446774771,12.22,97.98,100,0,0,0,0,100,22.77,6.25,10.31,50.52,59,0,58,98.02,12.12,90.2,0,0,0,0,0,100,0,2,0,0,0,0,0,0,73.74,0,0,99,0,100,0.99,0,52.04,0,0,0,0,84.16,0,0,0,0,0,2.97,0,99.01,71.43,3.06,0,0,0,0,0,0,1.01,0,32,0,0,0,1.02,0,26.26,100,0,5,0,0,0,0,0,0,4,0,0,0,25.25,0,0,0,0,3,1.01,100,7,1,3.92,0,7,100,7.84,2.97,2.06,3,10.89,2.04,12.62,40,0,10,1.98,0,0,0,0,0,95.96,95.96,97,0,9.18,42,9,4.04,5.94,3.03,58.59,0,84.47,0,41666533465,632,20,52782,41604709259,,3231435226,5.97,10.23,7.14,19.28,1984
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:30Z,sdgp,host,21388080,53231240,1169021638,1.11,0,0,0,0.99,0,89,6.93,11.76,6,100,98.02,7.92,52.53,8,5,84,35.35,0,0,0,0,0,0,73.74,100,64,0,0,0,0,0,70.3,0,4.08,0,48.04,32.38,0.99,0,0,0,0,0,0,7.92,0,0,0,0,0,0,26,100,99,20,0,0,0,0,0,0,43,0,96.97,0,0,0,0,13.13,98,80.81,0,2.06,0,0,0,0,0,24,0,0,0,0,70.71,0,0,0,99.01,6,8.74,36.54,71,2.02,3.03,96.97,7.92,99,98.99,11.7,4,3.03,100,0,1,8.82,27.72,0.99,71.29,53.06,76,1,0,0,0,49,20.41,0,0,0,0,1.96,0,78.79,99.01,13.13,0,0,49042425036,604,20.7,43098,48915096945,,2666385185,7.41,10.31,7.42,19.91,813
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:35Z,sdgp,host,19701220,40474028,859452092,0,95.05,0,0,0,0,0,3.06,13.33,4,28.57,98.99,11.34,0,9.9,79.8,0,0,100,0,0,0.99,0,92.71,0,0,0,0,0,0,0,99,95.19,0,100,100,0,42,0,100,0,0,0,0,0,100,49.49,0,0,0,0,0,0,0,0,0,53.85,0,0,0,0,100,0,0,100,100,0,0,0,11.88,0,58.59,0,0,0,0,0,0,0,66.67,0,1.96,0,0,30.93,0,0,0,50,3.06,3,1.02,8.16,57.14,13,98.99,100,100,54.17,30.3,0,0.99,50,3.96,0.99,51,4.08,100,2,100,0,0,0,0,0,100,0,0,98.99,0.99,0,0,0,0,100,0,48.98,0,53498966460,215,20.9,27234,53310872204,,1992184262,8.98,10.4,7.75,20.46,559
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:41Z,sdgp,host,14981477,19916782,554958015,0,0,0,0,0,0,0,0,3,4,1,99.01,0,0,0,0,0,0,100,0,0,0,0,55.79,0,46.53,0,0,0,0,0,48.39,100,0,56.57,47.42,0,0,0,0,0,0,0,0,100,96,0,58,0,55.21,0,0,0,0,99.01,0,0,0,0,0,0,0,0,0,95.05,0,0,0,0,0,0,38.1,61.47,0,0,0,0,0,0,0,73.74,0,0,44.68,100,0,0,0,0,24,54.17,0,0,0,0.99,49.48,56.19,86.96,3,0.99,55,1,46.81,11.43,59,6,0,54.37,0,100,0,0,0,0,0,100,43.62,0,0,0,0,0,0,0,14.14,32.67,50,0,35749394307,27,18,34804,35691043460,,1136336638,11.51,10.56,8.33,20.9,100
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:46Z,sdgp,host,14397543,17234844,416483987,0,0,0,0,0,0,0,0,0,48.08,0,50.5,0,0,0,0,46.39,0,57.45,0,0,0,0,0,0,54.55,0,0,0,0,0,0,35.11,0,53.76,50,52.22,0,0,0,0,0,0,61.61,0,52.04,0,46.15,0,55.91,0,0,50,0,0,54.44,0,0,0,0,0,0,0,0,50.53,0,0,0,0,0,0,0,39.29,0,0,0,0,0,0,0,73.68,0,0,58.49,0,0,0,0,0,4.04,36.79,49.48,0,0,0.99,48.18,0,47.96,45.26,0,0,46.94,12.5,0,0,0,0,58,0,49.49,52.88,0,0,0,0,51.02,66.34,0,51.65,0,0,0,0,0,0,0,52.53,0,35234369481,9,14.9,40640,35152713116,,828432515,12.03,10.6,8.5,20.89,59
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:52Z,sdgp,host,15131230,19717437,528250956,48.94,10.75,0,0,0,0,0,0,1,0,0,47.06,0,0,0,40.59,43.01,0,57.45,0,0,0,0,0,0,14,0,0,0,0,0,0,55.67,0,58,24,46.88,0,0,0,29.47,0,0,59.81,0,0,56.84,0,0,0,0,0,0,16.49,0,58.82,0,0,0,0,0,0,0,0,49.04,0,0,0,3,0.99,43,0,39.76,0,0,0,0,0,0,0,0,0,0,63.27,0,63.64,0,0,0,61.86,54.64,30.39,45.92,0,0,25.26,0,52.58,22.77,7.69,21.21,0,0,0,0,55.56,44.21,60.95,0,53.47,58,48.39,0,0,0,0,0,0,40.82,16.67,0,0,0,33.33,0,0,54,0,36318934359,185,12.8,43024,36239757945,,1104621634,12.43,10.63,8.64,20.87,244
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:06:57Z,sdgp,host,14528073,17890858,441748809,0,46.46,1.01,56.44,0.99,0,0,0,0,0,0,0,4.9,2,26,55.34,48.51,0,49.47,0,0,0,0,0,11.46,0,0,0,0,0,0,0,53.06,0,55.05,1,56.12,0,0,0,0,0,0,57.84,0,0,55.77,0,0,0,0,0,0,0,0,0,58.16,0,0,0,0,0,0,56.6,48.94,1,11.46,0,1.01,0,35.48,0,59.41,51.61,0,0,0,0,0,0,0,0,0,47.52,0,67.39,0,1.02,0,39.22,19.39,39.6,12.12,0.99,54.17,0,4.95,61.17,0,60.58,44.68,0,0.99,15.38,24.49,0,36.26,55.67,0,0,29.9,0,54.64,0,0,55.14,53,1,17,0,0,0,0,0,0,0,49,0,35072466307,63,13.4,41751,34991070712,,882721269,12.72,10.66,8.76,20.85,155
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:03Z,sdgp,host,27158103,47961371,1157624417,0,57.29,0,0,0,0,0,1.01,1,0,3,0.99,53.12,0,2.94,15.15,44.19,0,49,3,0,1.98,0,0,50,0,0,0,0,0,0,0,53.19,0,52.63,37.11,0,0,0,0,0,0,0,53,0,0,0,53.12,0,0,17.65,0,0,0,0,0,49.51,0,0,0,0,0,0,0,58.76,52,0,0,0,0,0,61.68,50,86.73,0,0,0,0,0,0,0,0,84.54,0,0,64.58,0,0,0,0,0,41.58,49.49,0,0,0,0.99,54.08,0,58.33,47.31,45,25,30.1,1.01,0,0,0,55.24,0,0,0,53,0,40.23,0,0,0,0,49.48,0.99,0,53.85,52.43,0,0,52.58,0,39237810392,25,12.8,38299,38916165973,,2627016060,13.14,10.7,8.91,20.85,66
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:08Z,sdgp,host,20280629,27722307,678795513,0,43.68,0,0,0,0,0,5.88,0.99,0,0,56.25,0,0,0,14.71,55.66,0,0,55.79,0,0,0,0,63.54,0,0,0,0,0,0,0,49.45,0,75.49,55.79,0,0,0,0,0,0,0,3.03,52.78,1,0,54.08,2.02,0,0,0,0,0,0,0.99,57.41,0,0,0,0,0,0,0,49.48,0,51,0,0,0,0,70.83,47.67,50.53,0,0,0,0,0,0,0,0,0,0,0,74.26,0,0,54.81,37.62,0,30.85,0,52.08,58.42,0,0,0,0,0,0,52.08,0,0,48.48,50.51,0,0,51.09,0,0,0,51.49,0,46,0,0,0,0,55.67,48.96,0,52.88,0,0,0,54.46,0,35789640440,12,13.5,39957,35712773837,,1442089037,13.45,10.74,9.05,20.88,775
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:14Z,sdgp,host,18060569,24820986,648227115,0,85.84,0,0,0,0,0,35.16,24.24,4.95,48.86,0,0,0,0,0,53.61,0,0,50,0,0,0,0,59.38,0,0,0,0,0,0,0,51.55,0,45,54.74,0,0,0,0,0,0,0,0,56.6,0,0,55.1,0,0,0,0,0,0,0,0,78.81,0,0,0,0,0,0,0,48.98,0,52.58,0,0,0,0,59.79,47.19,57.94,0,0,0,0,0,0,23.4,0,0,0,0,63.37,0,0,18.95,100,19.59,40.22,0,54.55,48.98,0,1,0,0,0,0,55.24,0,0.99,100,11.11,0,44.79,51.96,0,0,0,51.55,0,52,7,0,0,0,0,50.96,0,0,0,0,0,53.76,0,37626113756,11,14.2,47079,37545656661,,1385630844,13.73,10.77,9.18,20.89,48
,,1,2023-04-28T00:42:07.716408441Z,2023-04-28T02:22:07.716408441Z,2023-04-28T02:07:19Z,sdgp,host,10722132,13448231,288700842,0,0,0,0,0,0,0,0,0,0,48.39,1,0,0,0,0,55.77,0,65.18,34.52,0,0,0,0,58.16,0,0,0,0,0,0,0,51.58,0,45.36,53.26,4,0,0,0,0,0,0,0,56.88,0,0,53.06,0,0,0,0,0,0,0,0,39.8,0,0,0,0,0,0,0,51.96,0,50,0,0,0,0,64.58,51.11,100,59.14,0.99,0,0,0,0,0,0,0,1,0,100,0,63.54,0,49,60,27.96,50.5,12.87,76.42,0,0,0,0,0,0,54.55,0,0,100,0,0,43.27,0,0,0,0,44.9,0,52,29.47,0,0,0,0,100,0,0,0,16.16,76.67,100,0,41831404555,83,16.1,24992,41775823072,,615044815,14.08,10.81,9.33,20.87,48
